timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, -11, -49, -41,-15,1021,514,121,80,129
3, -17, -51, -34,-15,1021,514,121,80,129
6, -25, -58, -24,-15,1021,514,121,80,129
9, -35, -67, -21,-15,1021,514,121,80,129
12, -50, -70, -27,-15,1021,514,121,80,129
15, -63, -64, -37,-15,1021,514,121,80,129
18, -63, -45, -50,-15,1021,514,121,80,129
21, -44, -24, -57,-15,1021,514,121,80,129
24, -23, -17, -58,-20,1026,514,116,85,129
27, -10, -20, -60,-20,1026,514,116,85,129
30, -4, -26, -60,-20,1026,514,116,85,129
33, -1, -33, -58,-20,1026,514,116,85,129
