timestamp, x, y, z, mx, my, mz, mdx, mdy, mdz
0, 0, 52, -29,-181,923,514,-45,-18,129
3, 2, 61, -24,-181,923,514,-45,-18,129
6, 3, 71, -16,-181,923,514,-45,-18,129
9, 0, 85, -6,-181,923,514,-45,-18,129
12, -9, 90, 0,-181,923,514,-45,-18,129
15, -26, 84, -4,-181,923,514,-45,-18,129
18, -42, 65, -21,-181,923,514,-45,-18,129
21, -42, 42, -48,-181,923,514,-45,-18,129
24, -30, 10, -73,-186,926,514,-50,-15,129
27, -14, -10, -82,-186,926,514,-50,-15,129
30, 1, -7, -76,-186,926,514,-50,-15,129
33, 9, -1, -69,-186,926,514,-50,-15,129
36, 12, 6, -65,-186,926,514,-50,-15,129
39, 12, 8, -65,-186,926,514,-50,-15,129
